match_id,date,team_a,team_b,elo_a_pre_original,elo_b_pre_original,elo_a_pre_rederived,elo_b_pre_rederived,elo_delta_a,elo_delta_b,elo_source_status
19570310_Peru_vs_Ecuador,1957-03-10,Peru,Ecuador,1556.827,1207.971,1556.826522870486,1207.970672923262,0.00047712951391076786,0.0003270767379035533,comparado
19570313_Argentina_vs_Colombia,1957-03-13,Argentina,Colombia,1857.037,1299.706,1857.0371372892307,1299.7061003468898,-0.00013728923067901633,-0.00010034688989435381,comparado
19570313_Brazil_vs_Chile,1957-03-13,Brazil,Chile,1810.289,1630.125,1810.2894885254466,1630.1249209015339,-0.0004885254465989419,7.909846613074478e-05,comparado
19570316_Peru_vs_Chile,1957-03-16,Peru,Chile,1561.797,1618.963,1561.7971050576855,1618.9633262049106,-0.00010505768545954197,-0.0003262049106069753,comparado
19570317_Argentina_vs_Ecuador,1957-03-17,Argentina,Ecuador,1859.571,1203.0,1859.5709038717532,1203.0000907360627,9.61282466960256e-05,-9.073606270249002e-05,comparado
19570317_Colombia_vs_Uruguay,1957-03-17,Colombia,Uruguay,1297.172,1730.741,1297.1723337643673,1730.7409858081596,-0.00033376436726939573,1.4191840364219388e-05,comparado
19570320_Argentina_vs_Uruguay,1957-03-20,Argentina,Uruguay,1860.572,1691.939,1860.571941600527,1691.9393533366463,5.839947289132397e-05,-0.00035333664618519833,comparado
19570321_Brazil_vs_Ecuador,1957-03-21,Brazil,Ecuador,1821.451,1201.999,1821.4510832220699,1201.999053007289,-8.322206986122183e-05,-5.3007288897788385e-05,comparado
19570321_Chile_vs_Colombia,1957-03-21,Chile,Colombia,1594.539,1335.974,1594.5388836304464,1335.9739662358807,0.00011636955355243117,3.376411928002199e-05,comparado
19570323_Peru_vs_Uruguay,1957-03-23,Peru,Uruguay,1586.222,1674.69,1586.2215476321496,1674.6903740071468,0.0004523678503574047,-0.000374007146774602,comparado
19570324_Brazil_vs_Colombia,1957-03-24,Brazil,Colombia,1823.205,1328.239,1823.2045259716758,1328.239284088591,0.00047402832410625706,-0.0002840885908881319,comparado
19570324_Chile_vs_Ecuador,1957-03-24,Chile,Ecuador,1602.274,1200.246,1602.2735657777362,1200.245610257683,0.00043422226372058503,0.00038974231711108587,comparado
19570327_Peru_vs_Colombia,1957-03-27,Peru,Colombia,1569.571,1323.919,1569.5711160714882,1323.9193035889828,-0.00011607148826442426,-0.0003035889826605853,comparado
19570328_Argentina_vs_Chile,1957-03-28,Argentina,Chile,1877.821,1585.051,1877.8209209300264,1585.0514198428314,7.906997348072764e-05,-0.0004198428314339253,comparado
19570328_Brazil_vs_Uruguay,1957-03-28,Brazil,Uruguay,1827.525,1691.341,1827.524506471284,1691.3408055678083,0.0004935287161060842,0.00019443219161985326,comparado
19570331_Peru_vs_Brazil,1957-03-31,Peru,Brazil,1579.815,1798.69,1579.815373422979,1798.690335623913,-0.0003734229790097743,-0.00033562391286068305,comparado
19570401_Chile_vs_Uruguay,1957-04-01,Chile,Uruguay,1575.721,1720.175,1575.7214414658986,1720.1749764151793,-0.0004414658985751885,2.3584820610267343e-05,comparado
19570401_Colombia_vs_Ecuador,1957-04-01,Colombia,Ecuador,1313.675,1217.468,1313.6750462374919,1217.4677561925878,-4.6237491915235296e-05,0.00024380741228924308,comparado
19570403_Argentina_vs_Brazil,1957-04-03,Argentina,Brazil,1887.151,1807.972,1887.1508993069592,1807.9716326863652,0.00010069304084936448,0.0003673136347970285,comparado
19570406_Peru_vs_Argentina,1957-04-06,Peru,Argentina,1570.534,1908.956,1570.5340763605268,1908.9562584528178,-7.636052669113269e-05,-0.0002584528178886103,comparado
19580608_Argentina_vs_Germany,1958-06-08,Argentina,Germany,1838.897,1718.115,1838.8972002688968,1718.1150543530334,-0.00020026889683322224,-5.4353033419829444e-05,comparado
19580608_Austria_vs_Brazil,1958-06-08,Austria,Brazil,1687.861,1780.432,1687.8612186630771,1780.4323177850436,-0.00021866307702111953,-0.0003177850435349683,comparado
19580608_Czechoslovakia_vs_Northern_Ireland,1958-06-08,Czechoslovakia,Northern Ireland,1640.215,1458.309,1640.2151302847124,1458.3091311587941,-0.00013028471244069806,-0.00013115879414726805,comparado
19580608_England_vs_Russia,1958-06-08,England,Russia,1719.786,1603.066,1719.7864243180798,1603.0664512197252,-0.0004243180796947854,-0.0004512197251642647,comparado
19580608_France_vs_Paraguay,1958-06-08,France,Paraguay,1633.028,1574.016,1633.0278803949284,1574.0162023734783,0.00011960507163166767,-0.00020237347825968754,comparado
19580608_Hungary_vs_Wales,1958-06-08,Hungary,Wales,1814.153,1499.191,1814.1532715235335,1499.1908401418636,-0.0002715235334562749,0.00015985813638508262,comparado
19580608_Scotland_vs_Yugoslavia,1958-06-08,Scotland,Yugoslavia,1589.737,1691.633,1589.7369839282246,1691.6328879341725,1.60717754624784e-05,0.00011206582757949946,comparado
19580608_Sweden_vs_Mexico,1958-06-08,Sweden,Mexico,1621.724,1638.311,1621.7244659912972,1638.310617675394,-0.0004659912972329039,0.0003823246058800578,comparado
19580611_Argentina_vs_Northern_Ireland,1958-06-11,Argentina,Northern Ireland,1809.716,1489.399,1809.7162770849043,1489.3985551732828,-0.0002770849043827184,0.0004448267170573672,comparado
19580611_Austria_vs_Russia,1958-06-11,Austria,Russia,1667.197,1609.867,1667.19674751186,1609.867392229486,0.0002524881399494916,-0.0003922294861240516,comparado
19580611_Brazil_vs_England,1958-06-11,Brazil,England,1801.097,1712.985,1801.0967889362607,1712.9854833083189,0.00021106373924340005,-0.00048330831896237214,comparado
19580611_Czechoslovakia_vs_Germany,1958-06-11,Czechoslovakia,Germany,1609.126,1747.296,1609.1257062702236,1747.295977537026,0.0002937297763310198,2.246297412966669e-05,comparado
19580611_France_vs_Yugoslavia,1958-06-11,France,Yugoslavia,1660.406,1685.645,1660.405683053299,1685.6447188110476,0.0003169467008774518,0.0002811889523854916,comparado
19580611_Mexico_vs_Wales,1958-06-11,Mexico,Wales,1608.038,1514.3,1608.0379413511905,1514.2996026997419,5.864880949957296e-05,0.0003973002581005858,comparado
19580611_Paraguay_vs_Scotland,1958-06-11,Paraguay,Scotland,1546.638,1595.725,1546.6383997151077,1595.7251530513495,-0.00039971510773284535,-0.0001530513495708874,comparado
19580612_Sweden_vs_Hungary,1958-06-12,Sweden,Hungary,1651.997,1799.045,1651.9971423155007,1799.0445089656553,-0.0001423155006250454,0.0004910343448045751,comparado
19580615_Argentina_vs_Czechoslovakia,1958-06-15,Argentina,Czechoslovakia,1815.218,1617.063,1815.2178056501307,1617.0630192078916,0.0001943498693890433,-1.9207891455153003e-05,comparado
19580615_Austria_vs_England,1958-06-15,Austria,England,1641.035,1718.2,1641.0349558204475,1718.1998705108701,4.4179552560308366e-05,0.0001294891299039591,comparado
19580615_Brazil_vs_Russia,1958-06-15,Brazil,Russia,1795.882,1636.029,1795.8824017337095,1636.0291839208985,-0.0004017337093955575,-0.0001839208985074947,comparado
19580615_France_vs_Scotland,1958-06-15,France,Scotland,1640.929,1571.778,1640.9285247279138,1571.7777939512364,0.0004752720863052673,0.00020604876362995128,comparado
19580615_Germany_vs_Northern_Ireland,1958-06-15,Germany,Northern Ireland,1739.359,1483.897,1739.358664599358,1483.8970266080564,0.0003354006419158395,-2.6608056487020804e-05,comparado
19580615_Hungary_vs_Mexico,1958-06-15,Hungary,Mexico,1769.652,1602.506,1769.651788204386,1602.5057158765148,0.00021179561395001656,0.0002841234852439811,comparado
19580615_Paraguay_vs_Yugoslavia,1958-06-15,Paraguay,Yugoslavia,1570.586,1705.122,1570.5857588152207,1705.1218771364329,0.00024118477927004278,0.00012286356718504976,comparado
19580615_Sweden_vs_Wales,1958-06-15,Sweden,Wales,1681.39,1519.832,1681.3898630767699,1519.8318281744175,0.00013692323022951314,0.0001718255825835513,comparado
