match_id,stage_label,title,team_a,team_b,score,goals_a,goals_b,prob_scoreline,expected_points_8_5_3,exact_prob,difference_prob,result_prob,risk_adjusted_points,ensemble_adjusted_points,competitive_adjusted_points,public_score_popularity_index,differential_value_index,plausibility_index,rank_by_probability,rank_by_expected_points,selected_by_model,selected_by_penca,model_modal_score,model_modal_prob,penca_score,penca_expected_points,tail_7plus_or_other_prob
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,3-0,3,0,0.0019142905632444143,0.22326830874505088,0.0019142905632444143,0.0025809821055692446,0.07078782428139305,0.09182988016046736,0.18062355801772723,0.25783738992082317,0.0,0.27576368536819984,0.5689662227976002,24,40,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,3-1,3,1,0.0033634199838609054,0.24824684145082807,0.0033634199838609054,0.012896554327533108,0.07078782428139305,0.10298120443406164,0.2739618904201615,0.37583838773553874,0.0,0.36384463326920435,0.9874276183394454,22,36,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,3-2,3,2,0.0034429341378520643,0.3322233919712183,0.0034429341378520643,0.05476555835674148,0.07078782428139305,0.165082267723548,0.3548054679707152,0.4478689146645548,0.0,0.33236945247799854,0.8655096718283118,21,31,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,3-3,3,3,0.002657834505945413,0.9231357659086888,0.002657834505945413,0.18303245247817054,0.18303245247817054,0.7448744287642846,0.7113144545710421,0.7872094331389312,0.0,0.27105349488531816,0.6760821721330685,23,25,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,3-4,3,4,0.0014247246509654864,2.6984623454412877,0.0014247246509654864,0.22782450088354103,0.7461797232404364,2.725794197870728,2.317929922606682,2.4056525203355625,0.0,0.3132949918888586,0.48,26,8,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,3-5,3,5,0.0007343361306035419,2.6842261990188545,0.0007343361306035419,0.2217420104528674,0.7461797232404364,2.709730050623651,2.334239803078237,2.4260933907936195,0.0,0.32804852755493824,0.48,27,11,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,3-6,3,6,0.0003093741512432354,2.5533894538260733,0.0003093741512432354,0.1569610808255172,0.7461797232404364,2.5529837742092214,2.1492642325442453,2.2316691950659555,0.0,0.2943034375775364,0.48,32,16,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,4-0,4,0,0.00034081002234121285,0.2142783187053024,0.00034081002234121285,0.0004462078970498029,0.07078782428139305,0.09151816741120955,0.06619119884137092,0.11551546659659385,0.0,0.17615809912579616,0.48,31,44,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,4-1,4,1,0.0005666178171388602,0.21922529050673423,0.0005666178171388602,0.0025809821055692446,0.07078782428139305,0.09333789660165781,0.1105176520548121,0.16763805954005226,0.0,0.20400145530442917,0.6711955587960322,28,41,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,4-2,4,2,0.0005563600641778731,0.239825661691779,0.0005563600641778731,0.012896554327533108,0.07078782428139305,0.10478868309347514,0.2368654511290872,0.3040351416473204,0.0,0.23989175185083286,0.5699988858977426,29,37,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,4-3,4,3,0.0004044582925824437,0.3231079644354094,0.0004044582925824437,0.05476555835674148,0.07078782428139305,0.16429028472216226,0.2555944437814164,0.3095182189569476,0.0,0.19258491134118294,0.48,30,32,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,4-4,4,4,0.00024373312982995217,0.9158934617803426,0.00024373312982995217,0.18303245247817054,0.18303245247817054,0.7413705363588969,0.6784101626447097,0.7373752990302396,0.0,0.21058977280546387,0.48,33,26,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
,Grupo H,New Zealand vs Belgium,New Zealand,Belgium,4-5,4,5,0.00011116714769572371,2.6945216729314785,0.00011116714769572371,0.22782450088354103,0.7461797232404364,2.7233809963387476,2.2954924178305696,2.3800180863421527,0.0,0.3018773875413678,0.48,34,9,False,False,0-2,0.15735330882370044,0-2,3.1540831170981454,0.010036029726039564
