match_id,stage_label,title,team_a,team_b,model_modal_score,model_modal_prob,penca_score,penca_exact_prob,penca_expected_points_8_5_3,modal_expected_points_8_5_3,top3_by_probability,top3_by_expected_points,recommended_strategy,leader_score,middle_score,chaser_score,confidence_label,why_not_model_modal,tail_7plus_or_other_prob,warnings
,Grupo E,Ivory Coast vs Ecuador,Ivory Coast,Ecuador,0-0,0.1807435156,0-1,0.1768073115,2.6884980587,2.0327444703,0-0 (18.1%); 0-1 (17.7%); 0-2 (14.1%),0-1 (2.69 pts); 0-2 (2.46 pts); 1-2 (2.32 pts),balanced,0-0,0-1,0-1,Media,"No elegimos 0-0 aunque sea el modal (18.1%) porque 0-1 da mayor valor Penca esperado (2.69 vs 2.03 pts) al combinar exacto, diferencia y resultado.",0.0022393545,Penca difiere del modal
,Grupo F,Sweden vs Tunisia,Sweden,Tunisia,1-0,0.1289783310,1-0,0.1289783310,2.3290102671,2.3290102671,1-0 (12.9%); 1-1 (12.6%); 0-0 (11.3%),1-0 (2.33 pts); 2-1 (2.19 pts); 2-0 (2.06 pts),balanced,1-0,1-0,1-0,Baja,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0018754834,
,Grupo G,Spain vs Cape Verde,Spain,Cape Verde,3-0,0.1943563273,3-0,0.1943563273,3.7262172135,3.7262172135,3-0 (19.4%); 2-0 (17.7%); 4-0 (14.7%),3-0 (3.73 pts); 2-0 (3.65 pts); 4-0 (3.47 pts),balanced,3-0,3-0,3-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0447658118,cola 7+ relevante
,Grupo H,Belgium vs Egypt,Belgium,Egypt,1-0,0.1505840421,1-0,0.1505840421,2.9053941400,2.9053941400,1-0 (15.1%); 2-0 (14.4%); 0-0 (10.7%),1-0 (2.91 pts); 2-0 (2.82 pts); 2-1 (2.66 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0062366120,
,Grupo G,Saudi Arabia vs Uruguay,Saudi Arabia,Uruguay,0-2,0.1766403820,0-2,0.1766403820,3.2224779677,3.2224779677,0-2 (17.7%); 0-1 (16.7%); 0-3 (13.3%),0-2 (3.22 pts); 0-1 (3.21 pts); 0-3 (2.96 pts),balanced,0-2,0-2,0-2,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0101436248,
,Grupo H,Iran vs New Zealand,Iran,New Zealand,1-0,0.1396557440,1-0,0.1396557440,2.7301375451,2.7301375451,1-0 (14.0%); 2-0 (13.7%); 0-0 (11.5%),1-0 (2.73 pts); 2-0 (2.66 pts); 2-1 (2.51 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0055046633,
,Grupo I,France vs Senegal,France,Senegal,2-0,0.1579584844,1-0,0.1577932024,3.0619413539,3.0128740172,2-0 (15.8%); 1-0 (15.8%); 3-0 (10.8%),1-0 (3.06 pts); 2-0 (3.01 pts); 2-1 (2.79 pts),balanced,2-0,1-0,1-0,Media,"No elegimos 2-0 aunque sea el modal (15.8%) porque 1-0 da mayor valor Penca esperado (3.06 vs 3.01 pts) al combinar exacto, diferencia y resultado.",0.0072767598,Penca difiere del modal
,Grupo I,Iraq vs Norway,Iraq,Norway,0-2,0.1929581197,0-2,0.1929581197,3.5000976241,3.5000976241,0-2 (19.3%); 0-1 (17.6%); 0-3 (15.3%),0-2 (3.50 pts); 0-1 (3.44 pts); 0-3 (3.27 pts),balanced,0-2,0-2,0-2,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0131409254,
,Grupo J,Argentina vs Algeria,Argentina,Algeria,2-0,0.1916120118,2-0,0.1916120118,3.4074639893,3.4074639893,2-0 (19.2%); 3-0 (16.3%); 1-0 (15.9%),2-0 (3.41 pts); 1-0 (3.26 pts); 3-0 (3.24 pts),balanced,2-0,2-0,2-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0160686973,
,Grupo J,Austria vs Jordan,Austria,Jordan,1-0,0.1563493468,1-0,0.1563493468,3.0525152549,3.0525152549,1-0 (15.6%); 2-0 (14.8%); 3-0 (9.5%),1-0 (3.05 pts); 2-0 (2.94 pts); 2-1 (2.83 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0058109000,
